type,version,n_threads,n_blocks,N,D,K,m,max_iter,tol,seed,T_cpu,T_gpu,J_cpu,J_gpu,diff_rel,speedup
GPU,NORMAL,128,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,20825.34,0.000000,1274822.029165,inf,0.00
GPU,SHARED,128,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,32972.02,0.000000,1277751.133957,inf,0.00
GPU,NORMAL,128,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,17811.30,0.000000,1277751.396167,inf,0.00
GPU,NORMAL,256,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,27114.78,0.000000,1271859.605515,inf,0.00
GPU,NORMAL,256,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,19626.12,0.000000,1285558.800194,inf,0.00
GPU,SHARED,256,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,32249.14,0.000000,1277750.922464,inf,0.00
GPU,NORMAL,256,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,17671.43,0.000000,1277736.130327,inf,0.00
GPU,NORMAL,512,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,28522.77,0.000000,1274822.073713,inf,0.00
GPU,NORMAL,512,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,20299.47,0.000000,1285558.571534,inf,0.00
GPU,SHARED,512,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,31803.64,0.000000,1277751.092839,inf,0.00
GPU,NORMAL,512,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,17919.97,0.000000,1277751.082814,inf,0.00
GPU,NORMAL,1024,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,35490.80,0.000000,1271859.221586,inf,0.00
GPU,NORMAL,1024,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,24701.03,0.000000,1274821.950074,inf,0.00
GPU,SHARED,1024,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,345.89,0.000000,2326914.530267,inf,0.00
GPU,NORMAL,1024,0,1000000,41,23,23,2.00,100,0.0001,42,0.00,18931.90,0.000000,1277747.107366,inf,0.00
